
> # Print the LaTeX table to the file
> print(latex_table_final_sample, type = "latex", include.rownames = FALSE)
% latex table generated in R 4.4.2 by xtable 1.8-4 package
% Wed Dec  4 17:26:16 2024
\begin{table}[ht]
\centering
\begin{tabular}{lrr}
  \hline
Country & Year & Size \\ 
  \hline
Afghanistan & 1923.00 & 3121 \\ 
  Afghanistan & 1931.00 & 4428 \\ 
  Afghanistan & 1964.00 & 10050 \\ 
  Afghanistan & 1977.00 & 8066 \\ 
  Afghanistan & 1987.00 & 8172 \\ 
  Afghanistan & 1990.00 & 8314 \\ 
  Afghanistan & 2004.00 & 10562 \\ 
  Albania & 1925.00 & 6311 \\ 
  Albania & 1928.00 & 9052 \\ 
  Albania & 1939.00 & 1551 \\ 
  Albania & 1946.00 & 4780 \\ 
  Albania & 1976.00 & 6710 \\ 
  Albania & 1998.00 & 13913 \\ 
  Algeria & 1963.00 & 3634 \\ 
  Algeria & 1996.00 & 10690 \\ 
  Andorra & 1993.00 & 8888 \\ 
  Angola & 1975.00 & 2674 \\ 
  Angola & 2010.00 & 27922 \\ 
  Antigua\_Barbuda & 1981.00 & 37662 \\ 
  Argentina & 1819.00 & 6063 \\ 
  Argentina & 1826.00 & 6846 \\ 
  Argentina & 1853.00 & 8426 \\ 
  Armenia & 1995.00 & 8928 \\ 
  Armenia & 2005.00 & 13956 \\ 
  Armenia & 2015.00 & 23819 \\ 
  Australia & 1901.00 & 10901 \\ 
  Austria & 1920.00 & 16992 \\ 
  Austria & 1934.00 & 24132 \\ 
  Azerbaijan & 1991.00 & 2497 \\ 
  Azerbaijan & 1995.00 & 15942 \\ 
  Azerbaijan & 2009.00 & 17960 \\ 
  Bahamas & 1973.00 & 40522 \\ 
  Bahrain & 1973.00 & 8685 \\ 
  Bahrain & 2002.00 & 10842 \\ 
  Bangladesh & 1972.00 & 21821 \\ 
  Barbados & 1966.00 & 33917 \\ 
  Belarus & 1994.00 & 10049 \\ 
  Belgium & 1831.00 & 5409 \\ 
  Belize & 1981.00 & 36911 \\ 
  Benin & 1964.00 & 5876 \\ 
  Benin & 1970.00 & 2509 \\ 
  Benin & 1990.00 & 11475 \\ 
  Bhutan & 1953.00 & 987 \\ 
  Bhutan & 2008.00 & 13903 \\ 
  Bolivia & 1826.00 & 7648 \\ 
  Bolivia & 1831.00 & 7994 \\ 
  Bolivia & 1843.00 & 4840 \\ 
  Bolivia & 1851.00 & 5356 \\ 
  Bolivia & 1880.00 & 9389 \\ 
  Bolivia & 1938.00 & 10131 \\ 
  Bolivia & 1945.00 & 10699 \\ 
  Bolivia & 1967.00 & 14747 \\ 
  Bolivia & 2009.00 & 41139 \\ 
  BosniaAndHerzegovina & 1995.00 & 5527 \\ 
  Botswana & 1966.00 & 35872 \\ 
  Brazil & 1824.00 & 9054 \\ 
  Brazil & 1891.00 & 8824 \\ 
  Brazil & 1937.00 & 15796 \\ 
  Brazil & 1946.00 & 22810 \\ 
  Brazil & 1967.00 & 25873 \\ 
  Brazil & 1988.00 & 53891 \\ 
  Bulgaria & 1947.00 & 5466 \\ 
  Bulgaria & 1971.00 & 9603 \\ 
  Bulgaria & 1991.00 & 10859 \\ 
  Burkina\_Faso & 1960.00 & 3875 \\ 
  Burkina\_Faso & 1988.00 & 10811 \\ 
  Burkina\_Faso & 1991.00 & 8745 \\ 
  Burundi & 1962.00 & 4257 \\ 
  Burundi & 1974.00 & 3298 \\ 
  Burundi & 1981.00 & 4516 \\ 
  Burundi & 1992.00 & 9777 \\ 
  Burundi & 2004.00 & 17865 \\ 
  Burundi & 2005.00 & 18204 \\ 
  Cambodia & 1947.00 & 5094 \\ 
  Cambodia & 1972.00 & 6773 \\ 
  Cambodia & 1976.00 & 1601 \\ 
  Cambodia & 1981.00 & 6112 \\ 
  Cambodia & 1989.00 & 6171 \\ 
  Cambodia & 1993.00 & 14876 \\ 
  Cameroon & 1960.00 & 20475 \\ 
  Cameroon & 1961.00 & 4758 \\ 
  Cameroon & 1972.00 & 3896 \\ 
  Canada & 1791.00 & 9126 \\ 
  Canada & 1867.00 & 11164 \\ 
  Canada & 2011.00 & 21744 \\ 
  Cape\_Verde & 1980.00 & 5951 \\ 
  Central\_African\_Republic & 1981.00 & 5215 \\ 
  Central\_African\_Republic & 1994.00 & 8692 \\ 
  Central\_African\_Republic & 2004.00 & 10343 \\ 
  Central\_African\_Republic & 2013.00 & 9772 \\ 
  Chad & 1960.00 & 4850 \\ 
  Chad & 1962.00 & 6454 \\ 
  Chad & 1996.00 & 11846 \\ 
  Chile & 1823.00 & 14435 \\ 
  Chile & 1828.00 & 7623 \\ 
  Chile & 1833.00 & 10905 \\ 
  Chile & 1925.00 & 11189 \\ 
  Chile & 1980.00 & 26162 \\ 
  China & 1914.00 & 2548 \\ 
  China & 1923.00 & 5820 \\ 
  China & 1947.00 & 7598 \\ 
